Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-02-08 09:24:09,false,"East Ayrshire Walking","1.04","201","00:46:03","76","95","0.5","45","158","44:24","12:23","12","12","0.82","0.0","2,452","-8","No","00:00:01.6","4","00:27:58","00:47:01","104","112"
Walking,2026-02-07 10:54:10,false,"East Ayrshire Walking","0.98","120","00:34:41","74","90","0.2","53","155","35:26","15:22","12","11","0.85","0.0","2,350","-10","No","00:34:41","1","00:22:24","00:34:47","103","112"
